Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,new_obj,0.02,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38,45.38
GWO,new_obj,0.02,51.25,20.44,17.28,17.28,17.28,16.36,16.01,15.86,15.8,15.42,15.0,13.69,13.39,12.44,12.11,11.83,11.46,11.43,11.0,10.53,10.53,10.53,10.44,10.24,10.24,9.51,9.4,9.31,9.28,9.12,9.09,9.05,8.95,8.93,8.74,8.74,8.74,8.73,8.73,8.73,8.68,8.68,8.68,8.68,8.58,8.54,8.54,8.54,8.54,8.54
MVO,new_obj,0.02,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03,49.03
