Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GWO,new_obj,0.4477572441101074,"[0.08946555 0.01615786 0.00808042 0.1693714  1.93030865 0.1301237
 1.44876012 0.4126035  0.02465252 0.00873214 0.36203066 0.13272214
 4.57035907 0.28165092 0.         0.22293157 0.47373676 2.36547195]",34.419999999999995,19.610000000000003,15.489999999999998,8.64,7.48,6.51,5.8100000000000005,5.36,5.36,5.3100000000000005,5.26,4.960000000000001,4.91,4.91,4.58,4.53,4.16,3.8,3.7800000000000002,3.7800000000000002,3.43,3.43,3.31,3.31,3.31,3.13,3.08,3.08,3.08,2.68,2.68,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56
GWO,new_obj,0.42179012298583984,"[6.34220913e-02 8.29523094e-03 0.00000000e+00 2.21799537e-01
 3.59066370e+00 3.55402294e-01 1.29057280e-02 1.01951366e-01
 7.99351251e-04 6.62296175e-02 2.23155235e-01 1.12863588e-01
 4.77308849e+00 2.43983054e-03 1.40639886e-01 7.17932210e-02
 1.18322200e+00 7.08228404e-03]",30.58,19.78,11.29,11.29,7.13,5.27,4.33,3.99,3.8600000000000003,3.51,3.51,2.8200000000000003,2.74,2.57,2.57,2.57,2.57,2.57,2.57,2.49,2.49,2.49,2.4,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003
GWO,new_obj,0.42275238037109375,"[2.73336401e-01 1.38377847e-01 4.85104771e-03 2.61738499e-02
 5.83997722e-01 0.00000000e+00 3.37516770e-01 1.33792219e+00
 3.21146885e-01 3.00962303e-02 1.97410847e-01 2.94802660e-01
 5.00000000e+00 4.59903414e-07 2.44306203e-01 1.90316454e-01
 1.36266194e-01 2.59984120e+00]",30.250000000000004,23.77,20.729999999999997,17.08,11.94,10.790000000000001,9.08,6.6,4.75,4.46,4.46,3.9699999999999998,3.27,3.05,2.7,2.7,2.7,2.67,2.67,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004
GWO,new_obj,0.45785021781921387,"[0.32159098 0.35476037 0.         2.02690935 2.68769021 0.
 0.4150215  0.30692641 0.30783691 0.35591887 0.14465151 0.14327609
 4.99744293 0.07421348 0.09303838 0.01699309 0.32275334 0.22302405]",29.15,21.419999999999998,16.779999999999998,13.38,8.09,6.140000000000001,4.51,3.6,3.6,3.6,3.4699999999999998,2.9699999999999998,2.6900000000000004,2.6900000000000004,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.5500000000000003,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997,2.4299999999999997
GWO,new_obj,0.4603443145751953,"[0.22708999 0.0418267  0.21027058 3.97165288 0.06960494 0.17741354
 0.         1.0853456  0.30611058 0.09038045 0.36264177 0.11043731
 5.         0.21010731 0.32111011 0.04008104 0.04825018 0.13950341]",27.61,23.64,16.85,11.939999999999998,9.51,5.72,5.72,5.26,5.06,4.38,4.38,4.13,3.73,3.7299999999999995,3.6799999999999997,3.3199999999999994,3.3199999999999994,3.2199999999999998,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996
GWO,new_obj,0.42437267303466797,"[1.51188668e-01 0.00000000e+00 6.86665659e-02 1.17130213e-01
 5.03605690e-01 1.16914582e-02 1.28352907e-01 1.55161515e+00
 6.21484776e-02 3.54371478e-01 8.02301696e-03 8.91570427e-02
 5.00000000e+00 2.82491219e-01 2.74354484e-04 3.99234833e-01
 1.15137482e+00 5.65528336e-01]",28.54,20.499999999999996,14.92,7.96,6.32,5.68,4.68,4.68,3.8600000000000003,3.8600000000000003,3.49,3.23,3.23,3.06,2.83,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72
GWO,new_obj,0.42200493812561035,"[2.80908160e-01 3.74508816e-02 1.64040381e-01 2.37714204e-01
 4.91149810e+00 0.00000000e+00 7.48695074e-04 4.52893186e-01
 1.97492559e-01 0.00000000e+00 3.31407367e-01 3.44634834e-02
 5.00000000e+00 1.87743362e-01 2.58126481e-01 9.76809754e-03
 0.00000000e+00 0.00000000e+00]",26.01,22.810000000000002,18.67,11.64,9.629999999999999,6.6499999999999995,5.36,2.74,2.74,2.46,2.46,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004,2.1500000000000004
GWO,new_obj,0.42865562438964844,"[0.11481021 0.08191804 0.06692564 0.72151302 0.0543106  0.30514062
 0.46948056 1.260038   0.41363401 0.1143608  0.27769401 0.3765318
 4.975465   0.27212795 0.01763824 0.06475119 0.35218521 2.71871198]",31.739999999999995,19.5,17.28,13.75,9.88,6.470000000000001,4.47,3.37,3.25,3.2199999999999998,2.89,2.89,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79
GWO,new_obj,0.5512747764587402,"[0.05580352 0.26378461 0.01428017 1.55873192 0.7239284  0.4138117
 0.03588604 0.61567214 0.15891517 0.1868616  0.19726437 0.30657626
 5.         0.08361584 0.27008266 0.00615084 0.40917122 0.73590742]",22.869999999999997,16.419999999999998,16.419999999999998,13.419999999999998,8.44,7.279999999999999,6.61,5.59,5.01,3.71,3.0,3.0,3.0,3.0,2.8000000000000003,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004,2.6900000000000004
GWO,new_obj,0.4786417484283447,"[2.09779778e-01 3.59124427e-02 7.84628646e-02 2.54956647e-01
 3.58688114e+00 3.19551602e-01 2.51759758e-01 1.76576826e-01
 3.44556684e-01 3.22224616e-03 8.25646938e-02 1.48279422e-01
 5.00000000e+00 3.46357910e-01 1.56657538e-01 6.58405143e-02
 3.95734878e-01 1.09434197e+00]",32.54,18.03,16.43,11.1,6.2700000000000005,5.87,4.09,3.67,2.96,2.96,2.96,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27
MVO,new_obj,0.4292430877685547,"[0.         0.06920853 0.         0.21260199 0.21166392 1.09474832
 0.93409467 3.65131347 0.45230271 0.37653718 0.29937312 0.31877851
 0.72077267 0.17772604 0.         0.02134906 1.54478135 0.67441302]",37.21,34.86,27.649999999999995,27.649999999999995,24.580000000000002,19.73,18.45,18.0,13.64,10.02,10.02,10.02,9.09,9.09,8.76,8.43,7.82,7.82,7.06,7.06,7.04,7.04,7.04,7.01,6.329999999999999,6.08,5.66,4.95,4.95,4.95,4.84,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
MVO,new_obj,0.3987288475036621,"[0.2586109  0.2369078  0.29646877 2.08791322 0.78648145 0.46880492
 0.95466488 0.39051408 0.04728152 0.12880827 0.30790691 0.4237513
 4.24596667 0.45721954 0.14823211 0.01727887 2.36398198 0.30467985]",35.91,23.39,22.65,22.65,21.89,17.55,14.93,12.71,12.229999999999999,11.889999999999999,11.1,9.489999999999998,7.71,7.3,6.9,6.9,5.43,5.43,5.43,5.1,5.1,4.02,4.02,4.02,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.27,3.27,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17
MVO,new_obj,0.40447354316711426,"[0.47095221 0.38089053 0.2028523  2.93921442 0.3000087  2.27093505
 1.49495245 0.         0.         0.         0.         0.
 1.68937782 0.19460514 0.28459944 0.         0.44657393 1.5857669 ]",28.11,20.240000000000002,18.68,13.700000000000001,13.700000000000001,13.700000000000001,11.73,9.01,8.569999999999999,8.489999999999998,8.489999999999998,6.4399999999999995,6.17,5.31,5.31,5.31,5.31,4.81,4.81,4.81,4.7,4.7,4.67,4.25,4.25,4.25,4.25,4.22,4.22,4.22,4.22,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
MVO,new_obj,0.42854762077331543,"[0.14806195 0.         0.35197321 0.         0.92553221 1.05291912
 0.20896633 0.80248945 0.         0.         0.21158538 0.
 3.10715956 0.         1.41441521 0.25328712 0.         2.5112148 ]",36.37,32.18,28.88,21.35,20.07,16.380000000000003,13.93,10.270000000000001,10.270000000000001,10.27,9.989999999999998,8.3,8.3,7.869999999999999,7.32,7.32,6.970000000000001,6.210000000000001,6.210000000000001,4.98,4.98,4.98,4.98,4.58,4.58,4.58,4.58,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999,4.029999999999999
MVO,new_obj,0.4030132293701172,"[0.         0.21617259 0.38138683 2.58984291 0.27127244 0.
 2.49553024 1.10474494 0.05983929 0.         0.         0.02124158
 2.52065572 0.08437352 0.12538578 0.3238718  1.11277845 0.18590606]",29.85,27.849999999999998,21.86,16.7,16.7,14.11,12.040000000000001,11.509999999999998,11.509999999999998,11.509999999999998,10.829999999999998,10.190000000000001,7.85,7.85,7.43,7.42,7.42,6.95,6.95,6.5,6.0,5.15,4.71,4.109999999999999,4.109999999999999,4.04,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997
MVO,new_obj,0.4221031665802002,"[0.04702881 0.24538604 0.         0.40616414 0.27908225 0.26693977
 0.21536499 1.45878359 0.         0.37144556 0.47318978 0.46787389
 2.74922661 0.         0.         0.48604797 3.27077923 2.88784633]",21.200000000000003,21.200000000000003,15.610000000000001,15.610000000000001,13.77,13.77,13.44,10.68,10.45,8.79,7.9,6.78,6.109999999999999,6.109999999999999,5.28,5.28,5.09,4.2,4.2,4.2,4.2,4.2,4.12,4.12,4.02,4.02,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62
MVO,new_obj,0.4333937168121338,"[1.19773775 0.         0.         3.33962582 0.45739168 1.07795626
 4.2289279  0.1063755  0.15152283 1.37021609 0.         0.
 3.18402893 0.36681052 2.26164728 0.29430635 0.47726616 0.2326475 ]",35.589999999999996,28.990000000000002,23.21,21.35,20.23,19.57,18.880000000000003,17.139999999999997,15.559999999999999,13.87,13.87,12.19,12.19,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.59,10.77,9.86,9.23,8.86,8.86,8.86,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76
MVO,new_obj,0.4767122268676758,"[0.         0.30264191 0.         2.85275839 0.         1.06663245
 0.         4.37403    1.41745727 0.         0.39448845 0.10889808
 0.59157091 0.19251121 0.44043567 0.31753444 0.         0.        ]",29.0,24.53,21.849999999999998,20.44,17.389999999999997,17.389999999999997,12.649999999999999,12.649999999999999,8.909999999999998,8.409999999999998,8.12,6.64,6.64,6.31,6.08,6.08,5.75,5.17,5.17,5.17,5.17,5.17,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999,4.799999999999999
MVO,new_obj,0.4490480422973633,"[0.48631488 0.         0.39100623 0.         0.72182808 0.38451088
 2.13052205 2.35392407 0.05936706 0.38415206 0.         0.
 4.69385078 0.         0.4443554  0.36316599 0.06110571 0.01431872]",23.569999999999997,23.24,22.529999999999998,18.44,15.7,15.7,14.879999999999999,13.79,10.02,8.379999999999999,8.379999999999999,8.25,8.25,8.25,7.88,7.55,7.42,7.27,5.9,5.9,5.119999999999999,4.3999999999999995,3.27,3.27,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77
MVO,new_obj,0.40505480766296387,"[0.         0.         0.01957883 1.37145594 3.54404828 0.3182142
 0.33203842 0.         0.48741478 0.         0.23290537 0.39196254
 2.95927508 0.         0.37742956 0.49646905 1.93688545 0.34906203]",27.93,27.82,23.81,17.769999999999996,12.68,12.68,10.93,10.83,10.46,6.05,5.500000000000001,5.500000000000001,5.45,4.79,4.79,4.79,4.79,4.79,4.79,4.640000000000001,4.37,4.09,4.09,3.94,3.94,3.58,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09
