Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
PSO,new_obj,0.39358019828796387,[0. 0. 0. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 5. 0.],25.619999999999997,23.65,17.66,13.319999999999999,8.25,7.25,5.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85,4.85
GWO,new_obj,0.40190744400024414,"[0.26677155 0.1018347  0.07656789 0.65245939 5.         0.
 0.22038176 0.10976987 0.46152997 0.15608237 0.04270413 0.14873016
 0.71025666 0.07203044 0.1345096  0.29717126 0.13194389 2.62425208]",23.990000000000002,18.73,12.41,10.42,7.82,6.500000000000001,6.0600000000000005,5.0600000000000005,5.04,4.91,4.84,4.4399999999999995,4.34,4.2,3.8699999999999997,3.85,3.72,3.62,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003,3.5700000000000003
MVO,new_obj,0.3739795684814453,"[0.00580178 0.         0.         1.26326764 1.47390952 2.40016304
 3.4798386  0.40986607 0.         0.         2.37863025 0.
 4.79393329 0.2479421  0.         0.28791736 1.29261555 0.46681476]",31.19,29.729999999999997,24.929999999999996,23.27,18.58,16.94,16.83,16.83,15.17,13.79,12.45,10.21,10.21,10.21,10.18,9.1,8.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92
